id,created_at,buyer_entity_id,claims
3245,2020-12-21 16:57:58 UTC,2028115,"[1263485]"
3246,2020-12-21 16:58:12 UTC,2028115,"[1263464]"
3247,2020-12-21 16:59:05 UTC,2028115,"[1263563]"
3248,2020-12-21 16:59:21 UTC,2028115,"[1243335]"
3249,2020-12-21 16:59:36 UTC,2028115,"[1263733]"
3250,2020-12-21 17:00:08 UTC,2028115,"[1316855]"
3251,2020-12-21 17:00:23 UTC,2028115,"[1263830]"
3252,2020-12-21 17:00:42 UTC,2028115,"[1263557]"
3253,2020-12-21 17:00:55 UTC,2028115,"[1263369]"
3254,2020-12-21 17:01:12 UTC,2028115,"[1263583]"
3255,2020-12-21 17:01:30 UTC,2028115,"[1316856]"
3256,2020-12-23 15:24:03 UTC,882833,"[1146148]"
3257,2020-12-23 15:24:17 UTC,882833,"[1174792]"
3260,2020-12-28 18:05:07 UTC,882833,"[1180473]"
3560,2021-01-26 23:35:58 UTC,882833,"[73816]"
3561,2021-01-26 23:35:58 UTC,882833,"[74090]"
3562,2021-01-26 23:35:58 UTC,882833,"[1096625]"
3563,2021-01-26 23:35:58 UTC,882833,"[75263]"
3565,2021-01-26 23:35:58 UTC,882833,"[73085]"
4644,2021-02-24 22:05:36 UTC,882833,"[75700]"
4645,2021-02-24 22:05:36 UTC,882833,"[747687]"
4646,2021-02-24 22:05:36 UTC,882833,"[74512]"
4647,2021-02-24 22:05:37 UTC,882833,"[747754]"
4674,2021-02-25 20:27:24 UTC,882833,"[1203099]"
4677,2021-02-25 20:27:25 UTC,882833,"[1097520]"
5242,2021-03-16 16:19:26 UTC,882833,"[79515]"
5243,2021-03-17 15:43:59 UTC,2107255,"[1485101]"
5264,2021-03-17 20:10:48 UTC,882833,"[1161995]"
5269,2021-03-18 20:57:06 UTC,882833,"[1506129]"
5272,2021-03-18 20:58:03 UTC,882833,"[1506428]"
5631,2021-03-30 20:32:11 UTC,882833,"[1146333]"
5632,2021-03-30 20:32:11 UTC,882833,"[1115538]"
5633,2021-03-30 20:32:11 UTC,882833,"[1146328]"
5634,2021-03-30 20:32:11 UTC,882833,"[1174761]"
5636,2021-03-30 20:32:11 UTC,882833,"[1115598]"
5638,2021-03-30 20:32:11 UTC,882833,"[1174747]"
5639,2021-03-30 20:32:11 UTC,882833,"[1115608]"
5640,2021-03-30 20:32:11 UTC,882833,"[1174727]"
5641,2021-03-30 20:32:11 UTC,882833,"[1146329]"
5643,2021-03-30 20:32:11 UTC,882833,"[1174786]"
5644,2021-03-30 20:32:11 UTC,882833,"[1174733]"
5645,2021-03-30 20:32:11 UTC,882833,"[1115550]"
5646,2021-03-30 20:32:11 UTC,882833,"[1175013]"
5648,2021-03-30 20:32:11 UTC,882833,"[1115577]"
5649,2021-03-30 20:32:11 UTC,882833,"[1115539]"
5650,2021-03-30 20:32:11 UTC,882833,"[1115604]"
5651,2021-03-30 20:32:11 UTC,882833,"[1174749]"
5652,2021-03-30 20:32:12 UTC,882833,"[1174986]"
5653,2021-03-30 20:32:12 UTC,882833,"[1115602]"
16587,2021-04-07 01:47:23 UTC,2368148,"[1162159]"
3579,2021-01-26 23:35:59 UTC,882833,"[75014]"
21655,2021-04-20 14:37:54 UTC,882833,"[1442120]"
26200,2021-04-21 14:36:36 UTC,2368148,"[1533098]"
26201,2021-04-21 14:36:36 UTC,2368148,"[1534302]"
3576,2021-01-26 23:35:59 UTC,882833,"[73509]"
26202,2021-04-21 14:36:37 UTC,2368148,"[1543366]"
26203,2021-04-21 14:36:37 UTC,2368148,"[1546136]"
26205,2021-04-21 14:36:37 UTC,2368148,"[1545714]"
26206,2021-04-21 14:36:37 UTC,2368148,"[1549045]"
5655,2021-03-30 20:32:12 UTC,882833,"[1174803]"
26207,2021-04-21 14:36:37 UTC,2368148,"[1540283]"
26208,2021-04-21 14:36:37 UTC,2368148,"[1533883]"
26209,2021-04-21 14:36:37 UTC,2368148,"[1566440]"
27606,2021-04-21 14:37:50 UTC,2368148,"[1547407]"
3577,2021-01-26 23:35:59 UTC,882833,"[74496]"
3578,2021-01-26 23:35:59 UTC,882833,"[74242]"
3580,2021-01-26 23:35:59 UTC,882833,"[74101]"
3581,2021-01-26 23:35:59 UTC,882833,"[1071275]"
3582,2021-01-26 23:35:59 UTC,882833,"[1096654]"
4295,2021-02-17 15:42:23 UTC,882833,"[1488739]"
4296,2021-02-17 15:43:26 UTC,882833,"[1429330]"
4447,2021-02-18 20:11:23 UTC,882833,"[1507196]"
4477,2021-02-19 18:55:15 UTC,882833,"[79120]"
4478,2021-02-19 18:55:15 UTC,882833,"[76870]"
4479,2021-02-19 18:55:15 UTC,882833,"[73734]"
4480,2021-02-19 18:55:15 UTC,882833,"[1238563]"
4481,2021-02-19 18:55:15 UTC,882833,"[1161830]"
4482,2021-02-19 18:55:15 UTC,882833,"[78503]"
4483,2021-02-19 18:55:15 UTC,882833,"[1177479]"
4484,2021-02-19 18:55:15 UTC,882833,"[1203609]"
4485,2021-02-19 18:55:15 UTC,882833,"[1202059]"
4486,2021-02-19 18:55:15 UTC,882833,"[1162043]"
4487,2021-02-19 18:55:15 UTC,882833,"[1205189]"
5656,2021-03-30 20:32:12 UTC,882833,"[1146324]"
5657,2021-03-30 20:32:12 UTC,882833,"[1174812]"
5658,2021-03-30 20:32:12 UTC,882833,"[1174734]"
5659,2021-03-30 20:32:12 UTC,882833,"[1175001]"
5660,2021-03-30 20:32:12 UTC,882833,"[1174898]"
5662,2021-03-30 20:32:12 UTC,882833,"[1115540]"
5664,2021-03-30 20:32:12 UTC,882833,"[1146309]"
5665,2021-03-30 20:32:12 UTC,882833,"[1115587]"
5666,2021-03-30 20:32:12 UTC,882833,"[1174723]"
5667,2021-03-30 20:32:12 UTC,882833,"[1115644]"
5669,2021-03-30 20:32:12 UTC,882833,"[1115605]"
5670,2021-03-30 20:32:12 UTC,882833,"[1115582]"
