id,negotiation_id,legal_entity_id,action
107547,4348,,cancel
107548,4317,,cancel
107549,4343,,cancel
107550,4364,,cancel
107551,4328,,cancel
107552,4768,,cancel
107553,4748,,cancel
765,621,882833,offer
766,227,882833,retract
768,622,882833,offer
769,242,882833,retract
771,623,882833,offer
772,623,882833,retract
774,624,882833,offer
775,239,882833,retract
777,625,882833,offer
778,31,882833,retract
781,186,882833,retract
783,627,882833,offer
12533,4456,882833,offer
12534,4457,882833,offer
110192,41269,2129659,offer
12536,5227,882833,offer
107554,4323,,cancel
12537,5228,882833,offer
12538,5229,882833,offer
12539,5230,882833,offer
107555,4314,,cancel
12540,5231,882833,offer
12541,5232,882833,offer
12542,5233,882833,offer
107556,4322,,cancel
12543,5234,882833,offer
12544,5235,882833,offer
12546,3418,882833,offer
12547,3419,882833,offer
12548,3420,882833,offer
12549,3421,882833,offer
48877,26485,2368148,offer
12550,3422,882833,offer
12551,3423,882833,offer
12552,3424,882833,offer
12553,3426,882833,offer
12554,3427,882833,offer
12555,3428,882833,offer
12556,3429,882833,offer
12557,3430,882833,offer
12558,3431,882833,offer
12559,3432,882833,offer
12560,3433,882833,offer
12561,3434,882833,offer
12562,3436,882833,offer
12563,3437,882833,offer
12564,3438,882833,offer
107557,4373,,cancel
12565,3439,882833,offer
12566,3440,882833,offer
107558,4754,,cancel
12567,3441,882833,offer
12568,3442,882833,offer
12569,3443,882833,offer
107559,4750,,cancel
12570,3444,882833,offer
12571,3445,882833,offer
107560,4749,,cancel
12572,3446,882833,offer
12573,3447,882833,offer
107561,4733,,cancel
12574,3448,882833,offer
12575,3449,882833,offer
12576,3450,882833,offer
12580,3455,882833,offer
107562,4751,,cancel
12581,3456,882833,offer
12582,3457,882833,offer
12583,3458,882833,offer
12584,3459,882833,offer
107563,4757,,cancel
12585,3460,882833,offer
12586,3462,882833,offer
107564,4338,,cancel
12587,3463,882833,offer
12588,3464,882833,offer
107565,4375,,cancel
12589,3465,882833,offer
12590,3466,882833,offer
12591,3467,882833,offer
12592,3468,882833,offer
107566,4319,,cancel
12593,3469,882833,offer
12594,3587,882833,offer
12595,3588,882833,offer
12596,3590,882833,offer
12597,3591,882833,offer
12598,3592,882833,offer
12599,3593,882833,offer
12600,3595,882833,offer
12601,3596,882833,offer
12602,3597,882833,offer
12603,3598,882833,offer
12604,3599,882833,offer
12605,3600,882833,offer
12606,3648,882833,offer
12607,3649,882833,offer
12608,3651,882833,offer
12609,3652,882833,offer
12610,3654,882833,offer
12611,3655,882833,offer
12612,3682,882833,offer
12613,3683,882833,offer
13630,5000,882833,offer
120905,23169,,cancel
6129,3486,882833,offer
6130,3487,882833,offer
6131,3488,882833,offer
6132,3489,882833,offer
6136,3493,882833,offer
6137,3494,882833,offer
6143,3500,882833,offer
13631,5001,882833,offer
107567,4320,,cancel
13632,5002,882833,offer
13633,5003,882833,offer
13634,5004,882833,offer
107568,4325,,cancel
13635,5005,882833,offer
4733,1979,,cancel
13636,5006,882833,offer
12665,4127,882833,offer
12666,1971,882833,offer
12667,1972,882833,offer
12668,2031,882833,offer
107569,4324,,cancel
12669,2032,882833,offer
12670,2034,882833,offer
107570,4386,,cancel
12671,2035,882833,offer
12672,2036,882833,offer
107571,4336,,cancel
12673,2037,882833,offer
107572,4729,,cancel
107573,4767,,cancel
107574,4377,,cancel
107575,4765,,cancel
107576,4334,,cancel
897,454,882833,retract
899,683,882833,offer
900,517,882833,retract
902,684,882833,offer
903,685,882833,offer
904,686,882833,offer
905,426,882833,retract
907,687,882833,offer
908,688,882833,offer
909,689,882833,offer
12674,2039,882833,offer
107577,4759,,cancel
116649,42847,2368148,offer
12676,2041,882833,offer
12681,2046,882833,offer
12682,2047,882833,offer
12683,2048,882833,offer
12684,2049,882833,offer
12685,2050,882833,offer
12686,2051,882833,offer
